887972,3,3,5,5200.0,1,OCCUPIED,526555,Ilya,2024-02-07,2024-02-15,CHECKIN
448543,3,3,5,5200.0,1,EMPTY,526555,Ilya,2024-02-07,2024-02-15,CHECKOUT
308220,3,3,5,5200.0,1,OCCUPIED,552909,Svetlana,2024-02-14,2024-02-27,CHECKIN
840703,3,3,5,5200.0,1,EMPTY,552909,Svetlana,2024-02-14,2024-02-27,CHECKOUT
744573,4,4,4,6100.0,4,OCCUPIED,552909,Svetlana,2024-02-07,2024-02-09,CHECKIN
623414,4,4,4,6100.0,4,EMPTY,552909,Svetlana,2024-02-07,2024-02-09,CHECKOUT
192925,3,3,5,5200.0,1,OCCUPIED,995157,Sergey,2024-02-18,2024-02-24,CHECKIN
875941,3,3,5,5200.0,1,EMPTY,995157,Sergey,2024-02-18,2024-02-24,CHECKOUT
388414,3,3,5,5200.0,1,OCCUPIED,818297,Marina,2024-08-10,2024-08-15,CHECKIN
879967,3,3,5,5200.0,1,EMPTY,818297,Marina,2024-08-10,2024-08-15,CHECKOUT
958691,1,1,3,4000.0,2,OCCUPIED,437147,Stan,2024-02-12,2024-02-17,CHECKIN
171612,4,4,4,6100.0,4,OCCUPIED,170817,Sergey,2024-02-14,2024-02-22,CHECKIN
844584,4,4,4,6100.0,4,EMPTY,170817,Sergey,2024-02-14,2024-02-22,CHECKOUT
778292,2,2,4,4700.0,3,OCCUPIED,437147,Stan,2024-02-22,2024-02-25,CHECKIN
793552,2,2,4,4700.0,3,OCCUPIED,928268,Alex,2024-02-25,2024-02-28,CHECKIN
168957,1,1,3,4000.0,2,OCCUPIED,107744,Artem,2024-02-28,2024-02-29,CHECKIN
877969,2,2,4,4700.0,3,OCCUPIED,107744,Artem,2024-02-28,2024-02-29,CHECKIN
778006,2,2,4,4700.0,3,OCCUPIED,107744,Artem,2024-01-10,2024-01-20,CHECKIN
127451,1,1,3,4000.0,2,OCCUPIED,107744,Artem,1111-11-11,1111-11-11,CHECKIN
675306,1,1,3,4000.0,2,EMPTY,107744,Artem,1111-11-11,1111-11-11,CHECKOUT
992924,1,1,3,4000.0,2,OCCUPIED,467330,Aleksey,1111-11-11,1111-11-11,CHECKIN
193954,1,1,3,4000.0,2,EMPTY,467330,Aleksey,1111-11-11,1111-11-11,CHECKOUT
704495,1,1,3,4000.0,2,OCCUPIED,359528,Sergey,1111-11-11,1111-11-11,CHECKIN
506279,1,1,3,4000.0,2,EMPTY,359528,Sergey,1111-11-11,1111-11-11,CHECKOUT
636695,1,1,3,4000.0,2,OCCUPIED,107744,Artem,1111-11-11,1111-11-11,CHECKIN
881082,2,2,4,4700.0,3,OCCUPIED,107744,Artem,1111-11-11,1111-11-11,CHECKIN
579452,2,2,4,4700.0,3,EMPTY,107744,Artem,1111-11-11,1111-11-11,CHECKOUT
699783,2,2,4,4700.0,3,OCCUPIED,359528,Sergey,1111-11-11,1111-11-11,CHECKIN
251589,2,2,4,4700.0,3,EMPTY,359528,Sergey,1111-11-11,1111-11-11,CHECKOUT
953563,2,2,4,4700.0,3,OCCUPIED,429582,Victor,1111-11-11,1111-11-11,CHECKIN
329204,1,1,3,4000.0,2,OCCUPIED,107744,Artem,2024-03-14,2024-03-20,CHECKIN
810376,2,2,4,4700.0,3,OCCUPIED,429582,Victor,2024-03-14,2024-03-17,CHECKIN
